Reading Date, 1 am kWh Consumption, 2 am kWh Consumption, 3 am kWh Consumption, 4 am kWh Consumption, 5 am kWh Consumption, 6 am kWh Consumption, 7 am kWh Consumption, 8 am kWh Consumption, 9 am kWh Consumption, 10 am kWh Consumption, 11 am kWh Consumption, 12 pm kWh Consumption, 1 pm kWh Consumption, 2 pm kWh Consumption, 3 pm kWh Consumption, 4 pm kWh Consumption, 5 pm kWh Consumption, 6 pm kWh Consumption, 7 pm kWh Consumption, 8 pm kWh Consumption, 9 pm kWh Consumption, 10 pm kWh Consumption, 11 pm kWh Consumption, 12 am kWh Consumption, Total On-Peak kWh Consumption, Total Mid-Peak kWh Consumption, * Total Off-Peak kWh Consumption
6/20/2021,2.138,0.654,0.549,0.805,1.731,0.496,0.486,0.49,0.488,0.666,2.251,3.307,0.747,1.53,0.952,0.861,0.843,1.146,4.095,3.756,3.542,3.761,1.936,2.898,0,0,40.128
6/21/2021,1.447,0.505,0.459,0.449,1.444,2.33,0.439,0.445,1.134,0.946,0.828,0.954,2.643,1.979,0.895,2.171,3.66,2.956,1.953,1.184,1.321,4.53,2.125,0.918,12.302,8.262,17.151
6/22/2021,0.573,0.542,0.547,0.542,0.516,0.509,0.499,0.491,0.808,1.152,0.935,0.972,1.1,0.942,1.025,0.81,0.755,0.779,1.264,1.091,1.026,1.239,1.271,1.047,5.604,5.429,9.402
6/23/2021,0.779,0.651,0.657,0.408,0.407,0.396,0.402,0.398,0.789,0.577,0.954,0.88,0.945,0.752,0.781,0.73,0.645,0.654,0.779,0.699,0.794,1.059,1.096,0.919,4.733,4.151,8.267
6/24/2021,0.796,0.717,0.499,0.394,0.395,0.387,0.386,0.389,0.662,0.569,0.678,0.777,1.107,0.852,0.747,0.813,0.708,0.744,0.775,1.073,3.156,4.495,4.064,3.763,5.004,3.817,20.125
6/25/2021,1.267,1.245,0.634,0.63,1.732,1.145,0.627,0.621,0.964,0.888,2.095,3.703,1.275,0.828,0.804,1.46,3.471,3.861,2.369,1.477,1.097,1.929,1.108,2.058,11.541,10.798,14.949
6/26/2021,0.728,0.619,1.101,1.527,1.125,1.173,1.337,0.47,0.492,0.958,0.693,0.707,0.932,0.597,0.583,0.648,2.573,1.802,1.282,1.258,2.622,3.49,2.401,1.95,0,0,31.068
6/27/2021,2.826,0.736,1.805,0.459,1.364,1.688,1.776,0.445,0.446,0.609,1.005,3.275,3.526,3.783,3.997,2.531,1.813,2.268,4.428,4.322,3.927,1.938,1.154,2.599,0,0,52.72
6/28/2021,3.25,1.052,3.196,1.339,2.56,2.576,2.311,0.494,0.841,0.8,0.746,0.813,3.834,3.59,3.45,0.698,2.22,3.533,3.532,3.771,3.859,3.952,3.85,2.358,14.605,9.946,34.074
6/29/2021,1.787,2.496,0.479,1.893,0.786,0.443,0.445,0.437,0.695,0.517,1.993,1.864,0.643,1.41,1.449,1.09,1.845,3.713,2.097,0.683,0.646,3.504,1.609,2.35,8.301,9.452,17.121
6/30/2021,1.164,1.749,1.142,0.482,0.489,0.478,0.472,0.465,0.864,0.628,0.852,0.93,3.603,3.542,1.997,2.124,3.368,1.121,1.749,3.966,3.628,3.881,3.307,1.363,15.564,5.679,22.121
7/1/2021,1.207,0.795,1.627,0.56,1.297,0.498,0.492,0.49,0.501,0.512,0.615,0.895,1.801,2.768,1.793,3.578,3.51,0.818,0.827,2.478,3.636,3.225,1.102,1.022,0,0,36.047
7/2/2021,0.998,0.903,0.53,0.501,0.497,0.496,0.488,0.491,0.625,0.707,0.601,1.031,1.177,1.089,0.892,0.869,1.271,1.046,1.169,1.233,1.117,1.069,1.143,1.177,6.329,4.639,10.152
7/3/2021,0.774,0.551,0.477,0.478,0.477,0.467,0.466,0.461,0.606,0.692,0.55,0.835,0.796,0.78,0.774,0.864,0.675,0.652,1.005,2.413,3.682,1.217,1.216,2.932,0,0,23.84
7/4/2021,2.103,2.062,0.453,1.529,0.453,0.441,1.485,0.426,0.435,0.769,0.699,0.576,0.657,1.048,1.472,3.639,0.751,2.343,2.073,3.242,3.943,2.223,1.29,1.099,0,0,35.211
7/5/2021,1.846,1.844,1.536,0.466,1.002,0.971,0.412,0.427,0.771,0.711,1.202,1.93,0.85,0.856,0.795,1.531,3.877,2.698,1.593,3.047,3.724,2.646,2.504,2.876,9.839,7.402,22.874
7/6/2021,1.104,2.188,1.661,0.825,1.804,1.371,0.597,0.433,0.783,0.563,1.298,0.591,2.278,3.78,3.637,1.253,1.367,3.809,3.748,0.987,0.669,3.589,2.861,0.983,12.906,10.634,18.639
7/7/2021,2.585,1.544,1.218,0.559,1.827,1.008,0.688,0.537,0.827,0.771,1.156,0.924,0.928,0.614,0.495,0.635,0.761,0.799,1.204,0.774,0.564,2.558,1.43,0.933,4.357,5.294,15.688
7/8/2021,0.816,0.495,0.456,0.449,0.451,2.204,0.431,0.429,0.61,0.652,0.703,0.635,0.886,0.752,0.603,1.02,0.907,0.971,0.944,0.945,1.144,1.498,1.226,1.138,4.803,4.309,11.253
7/9/2021,0.729,0.576,0.552,0.679,0.525,0.505,0.507,0.514,0.699,0.774,0.558,0.514,0.798,0.797,0.919,1.012,1.161,0.836,1.032,1.203,0.926,1.232,1.535,1.317,5.201,4.413,10.286
7/10/2021,0.953,0.579,0.476,0.482,0.482,0.471,0.474,0.465,0.469,0.489,0.436,0.58,0.807,0.897,0.881,1.384,0.885,0.867,0.988,1.081,1.455,1.596,1.249,1.362,0,0,19.808
7/11/2021,1.302,0.82,0.565,0.496,0.46,0.451,0.475,0.471,0.472,0.493,0.686,0.986,0.844,0.796,0.989,0.976,0.899,0.935,0.897,1.003,1.341,1.062,1.071,1.057,0,0,19.547
7/12/2021,0.799,0.553,0.532,0.516,0.525,0.525,0.525,0.53,0.746,0.793,0.612,0.785,0.878,1.224,0.872,1.121,1.079,1.135,1.356,1.046,1.052,1.177,1.229,1.194,5.959,5.172,9.673
7/13/2021,2.362,0.601,1.846,0.549,1.544,2.458,1.638,0.528,0.698,0.783,0.595,0.561,1.276,1.972,0.745,0.765,2.648,2.087,2.165,2.998,2.248,1.144,1.223,1.207,7.967,6.856,19.818
7/14/2021,0.77,1.926,0.521,0.512,2.883,0.494,1.415,0.488,0.813,0.686,0.612,0.649,0.903,3.697,3.683,1.699,3.807,2.067,1.45,3.011,3.927,4.411,1.607,1.68,14.438,6.116,23.157
7/15/2021,3.129,1.474,2.266,1.051,1.854,0.7,1.439,0.564,1.051,0.894,0.862,0.858,2.117,3.769,1.483,0.802,0.923,1.212,1.499,3.357,4.029,3.986,3.998,1.652,9.952,6.082,28.935
7/16/2021,0.703,1.336,1.815,0.813,2.175,0.483,2.29,0.501,0.838,0.538,0.546,0.565,0.938,0.905,0.814,1.618,1.755,0.978,1.79,2.36,1.389,1.053,1.036,1.462,6.595,5.191,16.915
7/17/2021,1.478,0.536,0.518,0.473,0.455,0.437,0.461,0.465,0.746,0.742,1.091,1.211,1.107,1.81,2.071,1.401,1.522,0.772,0.957,1.228,1.32,1.474,1.396,1.338,0,0,25.009
7/18/2021,1.191,2.374,1.135,0.463,0.476,2.066,0.483,0.461,0.447,0.706,0.753,0.991,0.929,2.092,3.961,2.273,0.76,0.827,2.395,1.961,2.03,3.332,1.076,2.285,0,0,35.467
7/19/2021,2.262,1.117,1.657,0.451,0.459,1.533,0.96,0.455,0.714,0.62,0.902,0.858,2.873,2.897,1.072,1.166,3.717,2.931,5.004,4.199,4.326,1.529,1.419,0.969,12.583,10.626,20.881
7/20/2021,2.279,0.453,0.89,1.805,0.48,2.444,1.125,0.47,0.557,0.665,0.745,0.77,3.568,3.243,3.646,1.421,2.313,1.614,1.115,1.485,1.034,1.933,1.582,1.035,14.961,5.166,16.545
7/21/2021,0.686,0.554,0.566,0.569,0.552,1.209,3.178,0.594,0.615,0.761,3.183,0.926,1.176,1.102,1.167,1.848,1.339,1.129,0.984,1.192,1.307,1.227,1.017,1.053,7.558,7.266,13.11
7/22/2021,0.744,0.539,0.52,0.54,0.552,0.551,0.622,0.512,0.721,0.612,0.732,0.817,0.845,1.021,0.953,0.817,0.814,0.842,1.189,1.112,1.087,0.685,1.206,1.342,5.267,4.608,9.5
7/23/2021,1.077,2.73,0.426,0.42,0.425,0.405,0.449,0.697,0.967,0.859,0.774,0.513,0.691,0.967,0.641,0.53,1.965,0.891,1.899,2.689,1.446,3.87,4.121,4.244,5.307,6.087,22.302
7/24/2021,1.081,2.236,0.463,0.454,0.429,0.41,0.431,0.446,1.006,0.324,0.279,0.283,0.263,0.247,0.26,0.274,0.278,0.244,0.254,0.272,0.323,0.385,0.402,0.423,0,0,11.467
7/25/2021,0.382,0.298,0.26,0.296,0.293,0.277,0.249,0.288,0.363,0.289,0.298,0.275,0.248,0.259,0.276,0.279,0.256,0.246,0.275,0.284,0.305,0.384,0.414,0.43,0,0,7.224
7/26/2021,0.354,0.266,0.276,0.292,0.293,0.269,0.247,0.282,0.274,0.271,0.245,1.667,1.56,0.282,0.245,0.263,0.277,0.279,0.247,0.259,0.321,0.403,0.372,0.398,4.294,1.598,3.75
7/27/2021,0.348,0.296,0.268,0.268,0.295,0.298,0.267,0.254,0.282,0.288,0.271,0.254,0.269,0.282,0.277,0.25,0.27,0.279,0.354,0.292,0.313,0.409,0.407,0.4,1.602,1.728,3.861
7/28/2021,0.339,0.295,0.294,0.266,0.278,0.295,0.282,0.266,0.248,0.283,0.281,0.275,0.252,0.268,0.276,0.285,0.261,0.265,0.279,0.278,0.329,0.377,0.382,0.425,1.617,1.622,3.84
7/29/2021,0.359,0.285,0.275,0.29,0.301,0.296,0.264,0.263,0.282,0.289,0.277,0.256,0.271,0.284,0.281,0.254,0.259,0.28,0.279,0.269,0.284,0.41,0.435,0.42,1.605,1.67,3.888
7/30/2021,0.323,0.271,0.292,0.291,0.28,0.255,0.286,0.278,0.28,0.249,0.27,0.278,0.284,0.256,0.258,0.278,0.37,0.299,0.286,0.271,0.296,0.401,0.402,0.427,1.724,1.662,3.795
7/31/2021,0.36,0.289,0.292,0.294,0.29,0.263,0.264,0.297,0.281,0.265,0.253,0.283,0.283,0.276,0.254,0.256,0.278,0.277,0.267,0.246,0.314,0.413,0.419,0.395,0,0,7.109
8/1/2021,0.371,0.316,0.291,0.265,0.268,0.289,0.278,0.259,0.245,0.276,0.275,0.28,0.242,0.267,0.274,0.279,0.257,0.244,0.28,0.275,0.307,0.376,0.404,0.425,0,0,7.043
8/2/2021,0.341,0.259,0.267,0.284,0.295,0.269,0.249,0.277,0.275,0.284,0.249,0.261,0.278,0.274,0.253,0.254,0.283,0.276,0.259,0.243,0.32,0.401,0.394,0.397,0,0,6.942
